Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 14
  Number of stages for ingress table allocation: 14
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 14 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3505             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3509             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3522             |
|   9   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3480             |
|   9   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3486             |
|   9   |   [ 9, 11 ]     |                     tbl_to_resp_block_0                      |
|   9   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3484             |
|   9   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3529             |
|  10   |   [ 9, 11 ]     |                        tbl_to_block_1                        |
|  10   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3527             |
|  10   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3515             |
|  10   |   [ 9, 11 ]     |                        tbl_to_block_0                        |
|  10   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3513             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3330             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3149             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3140             |
|  10   |   [ 8, 11 ]     |                           cond-126                           |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3388             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3411             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3415             |
