Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 12
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 109
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   0   |    [ 0, 1 ]     |             tbl_defense4_rrc_bor_unified12l2759              |
|   0   |    [ 0, 1 ]     |                           cond-79                            |
|   0   |    [ 0, 1 ]     |             tbl_defense4_rrc_bor_unified12l2802              |
|   0   |    [ 0, 1 ]     |             tbl_defense4_rrc_bor_unified12l2803              |
|   0   |   [ 0, 10 ]     |             tbl_defense4_rrc_bor_unified12l2750              |
|   0   |   [ 0, 10 ]     |                           cond-135                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_rrc_bor_unified12l3241              |
|   0   |   [ 0, 10 ]     |                           cond-137                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_rrc_bor_unified12l3252              |
|   1   |    [ 1, 1 ]     |             tbl_defense4_rrc_bor_unified12l2798              |
|   1   |    [ 1, 1 ]     |             tbl_defense4_rrc_bor_unified12l2799              |
|   1   |    [ 1, 1 ]     |             tbl_defense4_rrc_bor_unified12l2800              |
|   1   |    [ 1, 1 ]     |                    Ingress.tbl_build_now                     |
|   1   |    [ 0, 2 ]     |                  Ingress.tbl_build_exp_ack                   |
|   1   |    [ 0, 2 ]     |                           cond-86                            |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2834              |
|   1   |    [ 1, 2 ]     |             tbl_defense4_rrc_bor_unified12l2836              |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2848              |
|   1   |    [ 1, 2 ]     |             tbl_defense4_rrc_bor_unified12l2839              |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2854              |
|   1   |    [ 1, 2 ]     |             tbl_defense4_rrc_bor_unified12l2842              |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2865              |
|   1   |    [ 1, 3 ]     |             tbl_defense4_rrc_bor_unified12l2901              |
|   1   |    [ 0, 3 ]     |             tbl_defense4_rrc_bor_unified12l2809              |
|   1   |    [ 1, 3 ]     |             tbl_defense4_rrc_bor_unified12l2899              |
|   2   |    [ 1, 3 ]     |             tbl_defense4_rrc_bor_unified12l2900              |
|   2   |    [ 2, 2 ]     |                 Ingress.tbl_build_cand_resp                  |
|   2   |    [ 2, 2 ]     |             tbl_defense4_rrc_bor_unified12l2808              |
|   2   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2903              |
|   2   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2905              |
|   2   |    [ 2, 3 ]     |                           cond-94                            |
|   2   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2878              |
|   2   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2880              |
|   2   |   [ 2, 11 ]     |             tbl_defense4_rrc_bor_unified12l2883              |
|   2   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   2   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   2   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   2   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3007              |
|   2   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3008              |
|   2   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3009              |
|   2   |    [ 0, 9 ]     |             tbl_defense4_rrc_bor_unified12l2762              |
|   3   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3010              |
|   3   |    [ 3, 3 ]     |             tbl_defense4_rrc_bor_unified12l3004              |
|   3   |    [ 3, 3 ]     |             tbl_defense4_rrc_bor_unified12l3005              |
|   3   |    [ 3, 3 ]     |             tbl_defense4_rrc_bor_unified12l3006              |
|   3   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 3, 4 ]     |                           cond-112                           |
|   3   |   [ 0, 11 ]     |             tbl_defense4_rrc_bor_unified12l3258              |
|   3   |   [ 0, 11 ]     |             tbl_defense4_rrc_bor_unified12l3261              |
|   3   |   [ 0, 11 ]     |             tbl_defense4_rrc_bor_unified12l3247              |
|   3   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   3   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   3   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   3   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   3   |   [ 1, 11 ]     |             tbl_defense4_rrc_bor_unified12l3266              |
|   3   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   3   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   4   |    [ 4, 4 ]     |             tbl_defense4_rrc_bor_unified12l3013              |
|   4   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2922              |
|   4   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2926              |
|   4   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2932              |
|   4   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2948              |
|   4   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2943              |
|   4   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2945              |
|   5   |    [ 5, 5 ]     |             tbl_defense4_rrc_bor_unified12l3014              |
|   5   |    [ 5, 5 ]     |             tbl_defense4_rrc_bor_unified12l3015              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3016              |
|   5   |    [ 5, 6 ]     |                   Ingress.tbl_state_decode                   |
|   5   |    [ 5, 6 ]     |                    Ingress.tbl_txn_active                    |
|   5   |    [ 5, 6 ]     |                           cond-117                           |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3024              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3025              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3026              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3021              |
|   6   |    [ 6, 6 ]     |             tbl_defense4_rrc_bor_unified12l3022              |
|   6   |    [ 6, 7 ]     |             tbl_defense4_rrc_bor_unified12l2978              |
|   6   |    [ 6, 8 ]     |             tbl_defense4_rrc_bor_unified12l2976              |
|   6   |    [ 6, 8 ]     |             tbl_defense4_rrc_bor_unified12l2969              |
|   6   |    [ 6, 8 ]     |             tbl_defense4_rrc_bor_unified12l2967              |
|   6   |    [ 6, 9 ]     |             tbl_defense4_rrc_bor_unified12l2988              |
|   6   |    [ 6, 9 ]     |             tbl_defense4_rrc_bor_unified12l2994              |
|   7   |    [ 7, 7 ]     |                     Ingress.tbl_hold_ok                      |
|   7   |    [ 7, 8 ]     |                   Ingress.tbl_tresp_expiry                   |
|   7   |    [ 7, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   7   |    [ 7, 9 ]     |             tbl_defense4_rrc_bor_unified12l3056              |
|   8   |    [ 8, 8 ]     |             tbl_defense4_rrc_bor_unified12l3030              |
|   9   |    [ 9, 9 ]     |                   Ingress.tbl_topj_expiry                    |
|   9   |   [ 9, 10 ]     |                           cond-124                           |
|   9   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3064              |
|   9   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3065              |
|   9   |   [ 9, 10 ]     |                           cond-127                           |
|   9   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3073              |
|   9   |   [ 9, 10 ]     |                           cond-132                           |
|   9   |   [ 9, 10 ]     |                    Ingress.tbl_decide_deq                    |
|   9   |   [ 9, 10 ]     |                   Ingress.tbl_decide_fresh                   |
|   9   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3076              |
|   9   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3079              |
|   9   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3068              |
|  10   |   [ 10, 10 ]    |             tbl_defense4_rrc_bor_unified12l3069              |
|  10   |   [ 10, 10 ]    |             tbl_defense4_rrc_bor_unified12l3070              |
