class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,137,3,1786665263.399275,1786665263.419777,1786665263.423774,3.997,45,28,28,0
ALL,defended,138,3,1786665263.429415,1786665263.450891,1786665263.454955,4.065,45,28,28,0
ALL,defended,139,3,1786665263.460520,1786665263.480993,1786665263.484986,3.993,45,28,28,0
ALL,defended,140,3,1786665263.490611,1786665263.511115,1786665263.515109,3.994,45,28,28,0
ALL,defended,141,3,1786665263.520754,1786665263.541274,1786665263.545271,3.998,45,28,28,0
ALL,defended,142,3,1786665263.550896,1786665263.572053,1786665263.576055,4.002,45,28,28,0
ALL,defended,143,3,1786665263.581702,1786665263.602206,1786665263.606267,4.061,45,28,28,0
ALL,defended,144,3,1786665263.611814,1786665263.632316,1786665263.636292,3.976,45,28,28,0
ALL,defended,145,3,1786665263.641915,1786665263.662377,1786665263.666377,4.000,45,28,28,0
ALL,defended,146,3,1786665263.671999,1786665263.692957,1786665263.696965,4.008,45,28,28,0
ALL,defended,147,3,1786665263.702584,1786665263.723088,1786665263.727093,4.005,45,28,28,0
ALL,defended,148,3,1786665263.732749,1786665263.753248,1786665263.757252,4.004,45,28,28,0
ALL,defended,149,3,1786665263.762871,1786665263.784420,1786665263.788444,4.024,45,28,28,0
ALL,defended,150,3,1786665263.794060,1786665263.814528,1786665263.818529,4.000,45,28,28,0
ALL,defended,151,3,1786665263.824151,1786665263.844633,1786665263.848632,3.999,45,28,28,0
ALL,defended,152,3,1786665263.854237,1786665263.874755,1786665263.878754,3.999,45,28,28,0
ALL,defended,153,3,1786665263.884398,1786665263.909804,1786665263.913804,4.000,45,28,28,0
ALL,defended,154,3,1786665263.919449,1786665263.939933,1786665263.943932,3.999,45,28,28,0
ALL,defended,155,3,1786665263.949555,1786665263.970068,1786665263.974068,4.000,45,28,28,0
ALL,defended,156,3,1786665263.979722,1786665264.001233,1786665264.005287,4.054,45,28,28,0
ALL,defended,157,3,1786665264.010837,1786665264.031295,1786665264.035269,3.973,45,28,28,0
ALL,defended,158,3,1786665264.040839,1786665264.061325,1786665264.065326,4.000,45,28,28,0
ALL,defended,159,3,1786665264.070951,1786665264.091454,1786665264.095433,3.979,45,28,28,0
ALL,defended,160,3,1786665264.101022,1786665264.122264,1786665264.126264,4.000,45,28,28,0
ALL,defended,161,3,1786665264.131880,1786665264.152381,1786665264.156438,4.057,45,28,28,0
