class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,native,218,1,1786665217.484480,1786665217.485104,1786665217.487247,2.144,20,0
ALL,native,219,1,1786665217.487576,1786665217.488215,1786665217.489412,1.197,20,0
ALL,native,220,1,1786665217.489739,1786665217.491397,1786665217.492483,1.086,20,0
ALL,native,221,1,1786665217.492819,1786665217.493450,1786665217.495584,2.134,20,0
ALL,native,222,1,1786665217.495917,1786665217.496544,1786665217.497704,1.160,20,0
ALL,native,223,1,1786665217.498036,1786665217.499700,1786665217.500887,1.187,20,0
ALL,native,224,1,1786665217.501171,1786665217.501805,1786665217.503975,2.170,20,0
ALL,native,225,1,1786665217.504344,1786665217.504874,1786665217.506086,1.213,20,0
ALL,native,226,1,1786665217.506440,1786665217.508063,1786665217.509378,1.315,20,0
ALL,native,227,1,1786665217.509714,1786665217.510237,1786665217.512466,2.229,20,0
ALL,native,228,1,1786665217.512801,1786665217.513364,1786665217.514579,1.216,20,0
ALL,native,229,1,1786665217.514905,1786665217.516479,1786665217.517664,1.185,20,0
ALL,native,230,1,1786665217.517987,1786665217.518615,1786665217.520765,2.150,20,0
ALL,native,231,1,1786665217.521042,1786665217.521710,1786665217.522892,1.182,20,0
ALL,native,232,1,1786665217.523226,1786665217.524847,1786665217.526023,1.176,20,0
ALL,native,233,1,1786665217.526378,1786665217.526928,1786665217.529128,2.200,20,0
ALL,native,234,1,1786665217.529479,1786665217.530051,1786665217.531245,1.194,20,0
ALL,native,235,1,1786665217.531573,1786665217.533189,1786665217.534363,1.173,20,0
ALL,native,236,1,1786665217.534703,1786665217.535266,1786665217.537457,2.190,20,0
ALL,native,237,1,1786665217.537785,1786665217.538570,1786665217.539782,1.212,20,0
ALL,native,238,1,1786665217.540064,1786665217.541604,1786665217.542844,1.240,20,0
ALL,native,239,1,1786665217.543173,1786665217.543813,1786665217.546033,2.219,20,0
ALL,native,240,1,1786665217.546383,1786665217.546896,1786665217.549206,2.311,20,0
ALL,native,241,1,1786665217.549542,1786665217.550171,1786665217.551378,1.207,20,0
