class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,defended,310,1,1786665338.960179,1786665338.980841,1786665338.984911,4.069,20,0
ALL,defended,311,1,1786665338.985193,1786665339.005840,1786665339.009840,3.999,20,0
ALL,defended,312,1,1786665339.010176,1786665339.030843,1786665339.034847,4.004,20,0
ALL,defended,313,1,1786665339.035182,1786665339.055850,1786665339.059851,4.001,20,0
ALL,defended,314,1,1786665339.060188,1786665339.080868,1786665339.084926,4.058,20,0
ALL,defended,315,1,1786665339.085209,1786665339.105860,1786665339.109864,4.003,20,0
ALL,defended,316,1,1786665339.110194,1786665339.130866,1786665339.134867,4.001,20,0
ALL,defended,317,1,1786665339.135199,1786665339.155873,1786665339.159873,4.001,20,0
ALL,defended,318,1,1786665339.160205,1786665339.180877,1786665339.184854,3.976,20,0
ALL,defended,319,1,1786665339.185189,1786665339.205860,1786665339.209861,4.001,20,0
ALL,defended,320,1,1786665339.210193,1786665339.230864,1786665339.234861,3.997,20,0
ALL,defended,321,1,1786665339.235196,1786665339.255861,1786665339.259860,3.999,20,0
