config,delivery,timing_mode,rep,txn,request_size,response_size,selected_target_ms,native_ready_ms,added_hold_ms,server_visible_ms,client_visible_ms,deadline_missed,bypassed,bypass_reason,queue_depth,byte_identical,recv_len,retransmission_count,ack_mode_pcap,dnp3_success
fixed25/full,full,fixed,0,1,24,17,25.0,0.6399,24.3601,25.0,25.1611,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,0,2,21,17,25.0,0.3862,24.6138,25.0,25.4094,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,0,3,24,17,25.0,0.4281,24.5719,25.0,25.3282,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,0,4,18,2407,25.0,0.3772,24.6228,25.0,25.3072,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,0,5,15,1657,25.0,0.4191,24.5809,25.0,25.3664,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,1,1,24,17,25.0,0.6296,24.3704,25.0,25.1829,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,1,2,21,17,25.0,0.3765,24.6235,25.0,25.4136,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,1,3,24,17,25.0,0.3622,24.6378,25.0,25.3126,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,1,4,18,2407,25.0,0.3589,24.6411,25.0,25.308,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,1,5,15,1657,25.0,0.421,24.579,25.0,25.3668,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,2,1,24,17,25.0,0.5334,24.4666,25.0,25.1918,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,2,2,21,17,25.0,0.3863,24.6137,25.0,25.3833,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,2,3,24,17,25.0,0.4066,24.5934,25.0,25.4119,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,2,4,18,2407,25.0,0.3888,24.6112,25.0,25.2075,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,2,5,15,1657,25.0,0.4241,24.5759,25.0,25.3971,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,3,1,24,17,25.0,0.4204,24.5796,25.0,25.4589,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,3,2,21,17,25.0,0.226,24.774,25.0,25.3311,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,3,3,24,17,25.0,0.2131,24.7869,25.0,25.2507,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,3,4,18,2407,25.0,0.2213,24.7787,25.0,25.2487,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,3,5,15,1657,25.0,0.3254,24.6746,25.0,25.4024,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,4,1,24,17,25.0,0.3798,24.6202,25.0,25.1396,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,4,2,21,17,25.0,0.2059,24.7941,25.0,25.2799,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,4,3,24,17,25.0,0.2068,24.7932,25.0,25.205,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,4,4,18,2407,25.0,0.2018,24.7982,25.0,25.5685,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,4,5,15,1657,25.0,0.237,24.763,25.0,25.5191,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,5,1,24,17,25.0,0.3831,24.6169,25.0,25.1343,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,5,2,21,17,25.0,0.2803,24.7197,25.0,25.2836,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,5,3,24,17,25.0,0.2716,24.7284,25.0,25.2526,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,5,4,18,2407,25.0,0.2865,24.7135,25.0,25.2876,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,5,5,15,1657,25.0,0.2873,24.7127,25.0,25.4127,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,6,1,24,17,25.0,0.3852,24.6148,25.0,25.1284,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,6,2,21,17,25.0,0.2851,24.7149,25.0,25.3048,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,6,3,24,17,25.0,0.2804,24.7196,25.0,25.2581,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,6,4,18,2407,25.0,0.2761,24.7239,25.0,25.246,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,6,5,15,1657,25.0,0.3094,24.6906,25.0,25.2927,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,7,1,24,17,25.0,0.4078,24.5922,25.0,25.1304,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,7,2,21,17,25.0,0.2781,24.7219,25.0,25.2869,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,7,3,24,17,25.0,0.279,24.721,25.0,25.261,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,7,4,18,2407,25.0,0.2798,24.7202,25.0,25.2722,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,7,5,15,1657,25.0,0.4166,24.5834,25.0,25.3868,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,8,1,24,17,25.0,0.5185,24.4815,25.0,25.1822,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,8,2,21,17,25.0,0.3766,24.6234,25.0,25.383,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,8,3,24,17,25.0,0.3733,24.6267,25.0,25.3177,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,8,4,18,2407,25.0,0.388,24.612,25.0,25.3317,False,False,none,0,True,2407,na_no_pcap,not_captured,True
fixed25/full,full,fixed,8,5,15,1657,25.0,0.42,24.58,25.0,25.3648,False,False,none,0,True,1657,na_no_pcap,not_captured,True
fixed25/full,full,fixed,9,1,24,17,25.0,0.4018,24.5982,25.0,25.1491,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,9,2,21,17,25.0,0.3859,24.6141,25.0,25.3749,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,9,3,24,17,25.0,0.3823,24.6177,25.0,25.338,False,False,none,0,True,17,na_no_pcap,not_captured,True
fixed25/full,full,fixed,9,4,18,2407,25.0,0.3755,24.6245,25.0,25.278,False,False,none,0,True,2407,na_no_pcap,not_captured,True
