capture_epoch_index,timestamp_us,slot_offset_us,slot_name,direction,cell_index,position_in_epoch,wire_len,dst_mac,src_mac,ethertype,magic,version,policy_id,key_epoch,cell_counter,public_header_len,ciphertext_len,tag_len,protocol,outer_flow_id,fragment_flag,retry_or_error_flag
2,1800000002203500,203500,tail,forward,0,20,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,16,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002203750,203750,tail,forward,1,21,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,17,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003000000,0,request,forward,0,0,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,18,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003000250,250,request,forward,1,1,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,19,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003000500,500,request,forward,2,2,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,20,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003000750,750,request,forward,3,3,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,21,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003001000,1000,ack,reverse,0,4,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,48,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003001250,1250,ack,reverse,1,5,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,49,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003200000,200000,response,reverse,0,6,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,50,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003200250,200250,response,reverse,1,7,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,51,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003200500,200500,response,reverse,2,8,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,52,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003200750,200750,response,reverse,3,9,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,53,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003201000,201000,response,reverse,4,10,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,54,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003201250,201250,response,reverse,5,11,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,55,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003201500,201500,response,reverse,6,12,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,56,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003201750,201750,response,reverse,7,13,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,57,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003202000,202000,response,reverse,8,14,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,58,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003202250,202250,response,reverse,9,15,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,59,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003202500,202500,response,reverse,10,16,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,60,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003202750,202750,response,reverse,11,17,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,61,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003203000,203000,response,reverse,12,18,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,62,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003203250,203250,response,reverse,13,19,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,63,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003203500,203500,tail,forward,0,20,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,22,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
3,1800000003203750,203750,tail,forward,1,21,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,23,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004000000,0,request,forward,0,0,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,24,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004000250,250,request,forward,1,1,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,25,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004000500,500,request,forward,2,2,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,26,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004000750,750,request,forward,3,3,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,27,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004001000,1000,ack,reverse,0,4,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,64,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004001250,1250,ack,reverse,1,5,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,65,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004200000,200000,response,reverse,0,6,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,66,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004200250,200250,response,reverse,1,7,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,67,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004200500,200500,response,reverse,2,8,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,68,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004200750,200750,response,reverse,3,9,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,69,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004201000,201000,response,reverse,4,10,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,70,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004201250,201250,response,reverse,5,11,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,71,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004201500,201500,response,reverse,6,12,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,72,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004201750,201750,response,reverse,7,13,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,73,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004202000,202000,response,reverse,8,14,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,74,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004202250,202250,response,reverse,9,15,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,75,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004202500,202500,response,reverse,10,16,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,76,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004202750,202750,response,reverse,11,17,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,77,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004203000,203000,response,reverse,12,18,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,78,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
4,1800000004203250,203250,response,reverse,13,19,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,79,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
