capture_epoch_index,case_id,status,primary_rn_l,protected_inner_length,exact_recovery,input_sha256,decoded_sha256,request_bundle_bytes,ack_bundle_bytes,response_bundle_bytes,tail_bundle_bytes,slot_status,source_kind,source_ref
54,rn-l-0058-03,success,1,58,1,e0fc8efa88f7e05eaab7def8879a678b0fada966c73dd8674117cd8f78b33c44,e0fc8efa88f7e05eaab7def8879a678b0fada966c73dd8674117cd8f78b33c44,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
55,rn-l-0049-12,success,1,49,1,41af30ac0e66e3cb4efd3b1b31418dd900becf019eef4811c0b1d687c66d7065,41af30ac0e66e3cb4efd3b1b31418dd900becf019eef4811c0b1d687c66d7065,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
56,rn-l-0058-11,success,1,58,1,c07e611a6bed61810e6f99c3a009bcff737b6fb1ff9e2b45de5a1654aabd95c0,c07e611a6bed61810e6f99c3a009bcff737b6fb1ff9e2b45de5a1654aabd95c0,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
57,rn-l-0058-07,success,1,58,1,236f2131da166693448830106feba3ac0fe902cb4f14bdc143a44533536508a2,236f2131da166693448830106feba3ac0fe902cb4f14bdc143a44533536508a2,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
58,rn-l-1574-14,success,1,1574,1,9deff12e32b2fef3b6358037ad82f7c068e148e8fc39e526e99267aa1ab19928,9deff12e32b2fef3b6358037ad82f7c068e148e8fc39e526e99267aa1ab19928,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
59,rn-l-0243-02,success,1,243,1,5635f27808ba3d1f180bbd0cea9415ec802495a2acdd1986c2e9e102b6cbb901,5635f27808ba3d1f180bbd0cea9415ec802495a2acdd1986c2e9e102b6cbb901,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
60,rn-l-0049-02,success,1,49,1,f965bf48d968c9537d1cc6cee54160974799470a5a74438c11a221d15f7a5aee,f965bf48d968c9537d1cc6cee54160974799470a5a74438c11a221d15f7a5aee,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
61,rn-l-0058-16,success,1,58,1,77b67c05b6a1ab9caad8395bc260fa62e5702366c6d4a9aaf0001d7165a5586f,77b67c05b6a1ab9caad8395bc260fa62e5702366c6d4a9aaf0001d7165a5586f,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
62,rn-l-0243-04,success,1,243,1,e1b3b9b6de11c2e0ab7ef0b3f534d66074d9eb5635471cbe6b911bc4aa3374cb,e1b3b9b6de11c2e0ab7ef0b3f534d66074d9eb5635471cbe6b911bc4aa3374cb,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
63,rn-l-0243-01,success,1,243,1,b158d534155d17245403180ebf6a1343096941a14343f9fb2af450e4f854a1b4,b158d534155d17245403180ebf6a1343096941a14343f9fb2af450e4f854a1b4,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
64,rn-l-0049-18,success,1,49,1,5d003dd9e6417ac22fa6e3b8b9aee8331f5b1d17c159ae951955c1f65d03b880,5d003dd9e6417ac22fa6e3b8b9aee8331f5b1d17c159ae951955c1f65d03b880,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
65,rn-l-0017-19,success,1,17,1,4550a17f4c2c5b9ba3a7e004398c42f026921272fc62678ba793ed4de8c1aa9f,4550a17f4c2c5b9ba3a7e004398c42f026921272fc62678ba793ed4de8c1aa9f,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
66,rn-l-0049-13,success,1,49,1,572366d22e4a447074e04ef1f4fd768fa44fd187f5351749ed8318bab271f786,572366d22e4a447074e04ef1f4fd768fa44fd187f5351749ed8318bab271f786,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
67,rn-l-0058-15,success,1,58,1,6828012300732ab13f42ff011f26d0b9e7783e09d0e1d10ccce6e084747a81ae,6828012300732ab13f42ff011f26d0b9e7783e09d0e1d10ccce6e084747a81ae,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
68,rn-l-1574-08,success,1,1574,1,837c61b3c44be64ae636d5264a79a39ef508d27933727626a66685b0c499f705,837c61b3c44be64ae636d5264a79a39ef508d27933727626a66685b0c499f705,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
69,rn-l-0017-00,success,1,17,1,a0b5bb27a86978c662c8c8eaa0656110ac3a0bdf5be8d0b95d894038950844ab,a0b5bb27a86978c662c8c8eaa0656110ac3a0bdf5be8d0b95d894038950844ab,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
70,rn-l-0049-15,success,1,49,1,c5e65ff8468390e70b2251430ca4a25d2f41dc7521c5f4f432f1c7683050e0f9,c5e65ff8468390e70b2251430ca4a25d2f41dc7521c5f4f432f1c7683050e0f9,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
71,rn-l-0058-17,success,1,58,1,bccaa792f3008f6fa2eb69d49123d4dfcebd2af8dc982bfb97c514068d22e274,bccaa792f3008f6fa2eb69d49123d4dfcebd2af8dc982bfb97c514068d22e274,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
72,rn-l-0058-06,success,1,58,1,da743338819954c1f5a8c03b8dcfc149a1dbf50ce0c73d48e85216a109d9e75b,da743338819954c1f5a8c03b8dcfc149a1dbf50ce0c73d48e85216a109d9e75b,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
73,rn-l-0058-13,success,1,58,1,71717a7d5c0305e3bfd3443fce07d06f6abe8253142d5c836e1cab746fa6c280,71717a7d5c0305e3bfd3443fce07d06f6abe8253142d5c836e1cab746fa6c280,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
74,rn-l-0058-05,success,1,58,1,b4532ace23731a78db691d6ea47b5f1fd49da7cd6214142d72bbbade9eac86c1,b4532ace23731a78db691d6ea47b5f1fd49da7cd6214142d72bbbade9eac86c1,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
75,rn-l-1574-05,success,1,1574,1,8fedcb5e730d60b14d5619a1b64c581b1be21a3f06621b248b5503b83e2c1f31,8fedcb5e730d60b14d5619a1b64c581b1be21a3f06621b248b5503b83e2c1f31,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
76,rn-l-0058-00,success,1,58,1,c7a642a202f025b7619d6489fc3cc8a6bd0dea0684cb61f96e2500b9b04974b0,c7a642a202f025b7619d6489fc3cc8a6bd0dea0684cb61f96e2500b9b04974b0,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
77,rn-l-0017-03,success,1,17,1,51e8f08ef0487df4340722ebd0c33138af02896836c0884d81a674b83fe19fbd,51e8f08ef0487df4340722ebd0c33138af02896836c0884d81a674b83fe19fbd,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
