arm,class,request_to_ack_ms,clrt_ms
timing_off,READ,0.5538,1.2460
timing_off,READ,1.5521,1.2170
timing_off,READ,0.5186,2.2710
timing_off,READ,0.5133,1.3500
timing_off,READ,1.5788,1.0590
timing_off,READ,0.5140,2.4490
timing_off,READ,0.5193,1.2830
timing_off,READ,1.7340,1.1680
timing_off,READ,0.6361,2.1950
timing_off,READ,0.6177,1.1560
timing_off,READ,1.5819,1.2130
timing_off,READ,0.6275,2.1600
timing_off,READ,0.6030,2.3880
timing_off,READ,0.5326,1.2240
timing_off,READ,0.5698,2.2680
timing_off,READ,0.5808,2.2250
timing_off,READ,0.5906,1.1950
timing_off,READ,0.5612,2.4480
timing_off,READ,0.6294,2.1210
timing_off,READ,0.6046,1.2570
timing_off,READ,1.6539,1.1400
timing_off,READ,0.5195,2.1340
timing_off,READ,0.6404,1.1820
timing_off,READ,1.7352,1.1370
timing_off,READ,0.5150,2.3940
timing_off,READ,0.5159,1.3010
timing_off,READ,1.5965,1.5150
timing_off,READ,0.5577,2.1830
timing_off,READ,0.7646,1.2030
timing_off,READ,1.5361,1.2440
timing_off,READ,0.5724,2.1940
timing_off,READ,0.5536,5.3450
timing_off,READ,1.5821,1.2900
timing_off,READ,0.5784,2.2080
timing_off,READ,0.5808,2.1640
timing_off,READ,0.5848,1.3120
timing_off,READ,1.5979,1.1860
timing_off,READ,0.6015,2.3020
timing_off,READ,0.6256,1.2140
timing_off,READ,1.6916,1.1830
timing_off,READ,0.5825,2.1910
timing_off,READ,0.5436,1.2320
timing_off,READ,1.6191,1.2650
timing_off,READ,0.5620,2.1550
timing_off,READ,0.5169,1.2680
timing_off,READ,1.6243,1.1910
timing_off,READ,0.6320,2.1540
timing_off,READ,0.5245,1.2750
timing_off,READ,1.8640,1.2110
timing_off,READ,0.5236,2.3320
timing_off,READ,0.6256,1.1880
timing_off,READ,1.6186,1.1800
timing_off,READ,0.6318,2.1720
timing_off,READ,0.6933,1.1650
timing_off,READ,1.5433,1.2110
timing_off,READ,0.6235,2.1400
timing_off,READ,0.6065,1.1650
timing_off,READ,1.5798,1.2510
timing_off,READ,0.5901,2.3800
timing_off,READ,0.5918,2.2150
timing_off,READ,0.7129,1.1790
timing_off,READ,1.5705,1.1950
timing_off,READ,0.6239,2.1780
timing_off,READ,0.5581,1.2390
timing_off,READ,1.6406,1.1290
timing_off,READ,0.6406,2.1660
timing_off,READ,0.6282,1.1470
timing_off,READ,5.7759,1.3160
timing_off,READ,0.5805,2.1970
timing_off,READ,0.6101,1.2140
timing_off,READ,1.6181,1.1890
timing_off,READ,0.5798,2.1900
timing_off,READ,0.5925,1.1870
timing_off,READ,1.6642,1.1930
timing_off,READ,0.5658,2.2040
timing_off,READ,0.5660,1.2120
timing_off,READ,1.5647,1.2760
timing_off,READ,0.5786,2.0970
timing_off,READ,0.7663,1.2520
timing_off,READ,1.6696,1.0970
timing_off,READ,0.6845,2.1630
timing_off,READ,0.5739,1.2230
timing_off,READ,1.6248,1.1690
timing_off,READ,0.5586,2.2110
timing_off,READ,0.6282,1.1870
timing_off,READ,1.6608,1.1410
timing_off,READ,0.6270,2.1650
timing_off,READ,0.7246,1.1500
timing_off,READ,1.5216,1.2420
timing_off,READ,0.7045,2.1640
timing_off,READ,0.5019,2.6600
timing_off,READ,0.7133,1.1690
timing_off,READ,1.6291,1.2770
timing_off,READ,0.5322,2.3840
timing_off,READ,0.6733,1.1540
timing_off,READ,1.6031,1.3000
timing_off,READ,0.7110,2.3030
timing_off,READ,0.5646,2.2290
timing_off,READ,0.5980,1.2300
timing_off,READ,1.7903,1.1480
timing_off,READ,0.6299,2.2080
timing_off,READ,0.6547,1.1430
timing_off,READ,1.6568,5.1760
timing_off,READ,0.6220,2.2000
timing_off,READ,0.6168,1.2580
timing_off,READ,1.6003,1.1310
timing_off,READ,0.6270,2.2350
timing_off,READ,0.6042,1.1780
timing_off,READ,1.8198,1.1730
timing_off,READ,0.4921,7.0390
timing_off,READ,0.5128,2.2960
timing_off,READ,0.6022,1.2490
timing_off,READ,1.6105,1.1490
timing_off,READ,0.6456,2.1700
timing_off,READ,0.6220,1.1360
timing_off,READ,1.6522,1.1700
timing_off,READ,0.6180,2.1570
