txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
38,0,156,1785028604.822239532,2334819980,22,32,74,88,1,6,0,1,0,True,2334820002,157,1785028604.822730872,2052939049,2334820002,0,32,52,66,158,1785028604.823837843,2052939049,2334820002,54,32,106,120,129,6,2,0,1,True,54,1.106971,1106971,0.491340,399.990599,398.411184,,,False,False,,
39,0,160,1785028605.222230131,2334820002,22,32,74,88,1,7,0,1,0,True,2334820024,161,1785028605.222749280,2052939103,2334820024,0,32,52,66,162,1785028605.224802881,2052939103,2334820024,54,32,106,120,129,7,3,0,1,True,54,2.053601,2053601,0.519149,400.004515,398.392288,,,False,False,,
40,0,164,1785028605.622234646,2334820024,22,32,74,88,1,8,0,1,0,True,2334820046,165,1785028605.622686821,2052939157,2334820046,0,32,52,66,166,1785028605.623789520,2052939157,2334820046,54,32,106,120,129,8,4,0,1,True,54,1.102699,1102699,0.452175,400.012490,397.431765,,,False,False,,
41,0,168,1785028606.022247136,2334820046,22,32,74,88,1,9,0,1,0,True,2334820068,169,1785028606.022750597,2052939211,2334820068,0,32,52,66,170,1785028606.023895086,2052939211,2334820068,54,32,106,120,129,9,5,0,1,True,54,1.144489,1144489,0.503461,399.998001,398.457616,,,False,False,,
42,0,172,1785028606.422245137,2334820068,22,32,74,88,1,10,0,1,0,True,2334820090,173,1785028606.422762723,2052939265,2334820090,0,32,52,66,174,1785028606.423988848,2052939265,2334820090,54,32,106,120,129,10,6,0,1,True,54,1.226125,1226125,0.517586,399.996264,398.350051,,,False,False,,
43,0,176,1785028606.822241401,2334820090,22,32,74,88,1,11,0,1,0,True,2334820112,177,1785028606.822737766,2052939319,2334820112,0,32,52,66,178,1785028606.824700641,2052939319,2334820112,54,32,106,120,129,11,7,0,1,True,54,1.962875,1962875,0.496365,400.010613,398.252553,,,False,False,,
44,0,180,1785028607.222252014,2334820112,22,32,74,88,1,12,0,1,0,True,2334820134,181,1785028607.222735719,2052939373,2334820134,0,32,52,66,182,1785028607.224697472,2052939373,2334820134,54,32,106,120,129,12,8,0,1,True,54,1.961753,1961753,0.483705,399.984071,397.551373,,,False,False,,
45,0,184,1785028607.622236085,2334820134,22,32,74,88,1,13,0,1,0,True,2334820156,185,1785028607.622735435,2052939427,2334820156,0,32,52,66,186,1785028607.623961614,2052939427,2334820156,54,32,106,120,129,13,9,0,1,True,54,1.226179,1226179,0.499350,399.997145,397.538613,,,False,False,,
46,0,188,1785028608.022233230,2334820156,22,32,74,88,1,14,0,1,0,True,2334820178,189,1785028608.022767436,2052939481,2334820178,0,32,52,66,190,1785028608.023904987,2052939481,2334820178,54,32,106,120,129,14,10,0,1,True,54,1.137551,1137551,0.534206,400.018639,398.271616,,,False,False,,
47,0,192,1785028608.422251869,2334820178,22,32,74,88,1,15,0,1,0,True,2334820200,193,1785028608.422983011,2052939535,2334820200,0,32,52,66,194,1785028608.424066040,2052939535,2334820200,54,32,106,120,129,15,11,0,1,True,54,1.083029,1083029,0.731142,399.982621,398.346882,,,False,False,,
48,0,196,1785028608.822234490,2334820200,22,32,74,88,1,0,0,1,0,True,2334820222,197,1785028608.823115884,2052939589,2334820222,0,32,52,66,198,1785028608.824353537,2052939589,2334820222,54,32,106,120,129,0,12,0,1,True,54,1.237653,1237653,0.881394,400.015725,398.168450,,,False,False,,
49,0,200,1785028609.222250215,2334820222,22,32,74,88,1,1,0,1,0,True,2334820244,201,1785028609.223261089,2052939643,2334820244,0,32,52,66,202,1785028609.224749891,2052939643,2334820244,54,32,106,120,129,1,13,0,1,True,54,1.488802,1488802,1.010874,400.004404,397.896678,,,False,False,,
50,0,204,1785028609.622254619,2334820244,22,32,74,88,1,2,0,1,0,True,2334820266,205,1785028609.623376241,2052939697,2334820266,0,32,52,66,206,1785028609.624469592,2052939697,2334820266,54,32,106,120,129,2,14,0,1,True,54,1.093351,1093351,1.121622,399.999142,397.504728,,,False,False,,
51,0,208,1785028610.022253761,2334820266,22,32,74,88,1,3,0,1,0,True,2334820288,209,1785028610.023439724,2052939751,2334820288,0,32,52,66,210,1785028610.024703240,2052939751,2334820288,54,32,106,120,129,3,15,0,1,True,54,1.263516,1263516,1.185963,399.998707,397.784169,,,False,False,,
52,0,212,1785028610.422252468,2334820288,22,32,74,88,1,4,0,1,0,True,2334820310,213,1785028610.423648438,2052939805,2334820310,0,32,52,66,214,1785028610.428909787,2052939805,2334820310,54,32,106,120,129,4,16,0,1,True,54,5.261349,5261349,1.395970,399.988602,397.549228,,,False,False,,
53,0,216,1785028610.822241070,2334820310,22,32,74,88,1,5,0,1,0,True,2334820332,217,1785028610.823701482,2052939859,2334820332,0,32,52,66,218,1785028610.824755748,2052939859,2334820332,54,32,106,120,129,5,17,0,1,True,54,1.054266,1054266,1.460412,400.010850,393.331283,,,False,False,,
54,0,220,1785028611.222251920,2334820332,22,32,74,88,1,6,0,1,0,True,2334820354,221,1785028611.223730091,2052939913,2334820354,0,32,52,66,222,1785028611.229853436,2052939913,2334820354,54,32,106,120,129,6,18,0,1,True,54,6.123345,6123345,1.478171,400.003005,397.496172,,,False,False,,
55,0,224,1785028611.622254925,2334820354,22,32,74,88,1,7,0,1,0,True,2334820376,225,1785028611.623728904,2052939967,2334820376,0,32,52,66,226,1785028611.624943286,2052939967,2334820376,54,32,106,120,129,7,19,0,1,True,54,1.214382,1214382,1.473979,399.978079,392.401489,,,False,False,,
56,0,228,1785028612.022233004,2334820376,22,32,74,88,1,8,0,1,0,True,2334820398,229,1785028612.022633826,2052940021,2334820398,0,32,52,66,230,1785028612.024762824,2052940021,2334820398,54,32,106,120,129,8,20,0,1,True,54,2.128998,2128998,0.400822,400.000993,397.289718,,,False,False,,
57,0,232,1785028612.422233997,2334820398,22,32,74,88,1,9,0,1,0,True,2334820420,233,1785028612.424371680,2052940075,2334820420,0,32,52,66,234,1785028612.425476456,2052940075,2334820420,54,32,106,120,129,9,21,0,1,True,54,1.104776,1104776,2.137683,399.996111,397.471173,,,False,False,,
58,0,236,1785028612.822230108,2334820420,22,32,74,88,1,10,0,1,0,True,2334820442,237,1785028612.822721626,2052940129,2334820442,0,32,52,66,238,1785028612.824794050,2052940129,2334820442,54,32,106,120,129,10,22,0,1,True,54,2.072424,2072424,0.491518,400.013141,396.753652,,,False,False,,
59,0,240,1785028613.222243249,2334820442,22,32,74,88,1,11,0,1,0,True,2334820464,241,1785028613.222701375,2052940183,2334820464,0,32,52,66,242,1785028613.225230663,2052940183,2334820464,54,32,106,120,129,11,23,0,1,True,54,2.529288,2529288,0.458126,400.009859,397.449199,,,False,False,,
60,0,244,1785028613.622253108,2334820464,22,32,74,88,1,12,0,1,0,True,2334820486,245,1785028613.622734881,2052940237,2334820486,0,32,52,66,246,1785028613.624945554,2052940237,2334820486,54,32,106,120,129,12,24,0,1,True,54,2.210673,2210673,0.481773,399.994991,397.022445,,,False,False,,
61,0,248,1785028614.022248099,2334820486,22,32,74,88,1,13,0,1,0,True,2334820508,249,1785028614.022752193,2052940291,2334820508,0,32,52,66,250,1785028614.024802344,2052940291,2334820508,54,32,106,120,129,13,25,0,1,True,54,2.050151,2050151,0.504094,399.998898,397.302545,,,False,False,,
62,0,252,1785028614.422246997,2334820508,22,32,74,88,1,14,0,1,0,True,2334820530,253,1785028614.422770890,2052940345,2334820530,0,32,52,66,254,1785028614.424813748,2052940345,2334820530,54,32,106,120,129,14,26,0,1,True,54,2.042858,2042858,0.523893,400.005009,397.444653,,,False,False,,
63,0,256,1785028614.822252006,2334820530,22,32,74,88,1,15,0,1,0,True,2334820552,257,1785028614.822719226,2052940399,2334820552,0,32,52,66,258,1785028614.824925031,2052940399,2334820552,54,32,106,120,129,15,27,0,1,True,54,2.205805,2205805,0.467220,400.001165,397.438258,,,False,False,,
64,0,260,1785028615.222253171,2334820552,22,32,74,88,1,0,0,1,0,True,2334820574,261,1785028615.222732331,2052940453,2334820574,0,32,52,66,262,1785028615.225864602,2052940453,2334820574,54,32,106,120,129,0,28,0,1,True,54,3.132271,3132271,0.479160,399.988714,397.328140,,,False,False,,
65,0,264,1785028615.622241885,2334820574,22,32,74,88,1,1,0,1,0,True,2334820596,265,1785028615.622740541,2052940507,2334820596,0,32,52,66,266,1785028615.623826485,2052940507,2334820596,54,32,106,120,129,1,29,0,1,True,54,1.085944,1085944,0.498656,399.987407,396.377283,,,False,False,,
66,0,268,1785028616.022229292,2334820596,22,32,74,88,1,2,0,1,0,True,2334820618,269,1785028616.022673838,2052940561,2334820618,0,32,52,66,270,1785028616.023737652,2052940561,2334820618,54,32,106,120,129,2,30,0,1,True,54,1.063814,1063814,0.444546,400.014977,398.402807,,,False,False,,
67,0,272,1785028616.422244269,2334820618,22,32,74,88,1,3,0,1,0,True,2334820640,273,1785028616.422692080,2052940615,2334820640,0,32,52,66,274,1785028616.423788904,2052940615,2334820640,54,32,106,120,129,3,31,0,1,True,54,1.096824,1096824,0.447811,400.004625,398.506617,,,False,False,,
68,0,276,1785028616.822248894,2334820640,22,32,74,88,1,4,0,1,0,True,2334820662,277,1785028616.822719870,2052940669,2334820662,0,32,52,66,278,1785028616.823806324,2052940669,2334820662,54,32,106,120,129,4,32,0,1,True,54,1.086454,1086454,0.470976,399.986202,398.459990,,,False,False,,
69,0,280,1785028617.222235096,2334820662,22,32,74,88,1,5,0,1,0,True,2334820684,281,1785028617.222720759,2052940723,2334820684,0,32,52,66,282,1785028617.226030869,2052940723,2334820684,54,32,106,120,129,5,33,0,1,True,54,3.310110,3310110,0.485663,400.020898,398.428772,,,False,False,,
70,0,284,1785028617.622255994,2334820684,22,32,74,88,1,6,0,1,0,True,2334820706,285,1785028617.622766547,2052940777,2334820706,0,32,52,66,286,1785028617.623849063,2052940777,2334820706,54,32,106,120,129,6,34,0,1,True,54,1.082516,1082516,0.510553,399.990660,396.225125,,,False,False,,
71,0,288,1785028618.022246654,2334820706,22,32,74,88,1,7,0,1,0,True,2334820728,289,1785028618.022715054,2052940831,2334820728,0,32,52,66,290,1785028618.023801398,2052940831,2334820728,54,32,106,120,129,7,35,0,1,True,54,1.086344,1086344,0.468400,400.004882,398.397591,,,False,False,,
72,0,292,1785028618.422251536,2334820728,22,32,74,88,1,8,0,1,0,True,2334820750,293,1785028618.422714052,2052940885,2334820750,0,32,52,66,294,1785028618.423734957,2052940885,2334820750,54,32,106,120,129,8,36,0,1,True,54,1.020905,1020905,0.462516,399.987682,398.450138,,,False,False,,
73,0,296,1785028618.822239218,2334820750,22,32,74,88,1,9,0,1,0,True,2334820772,297,1785028618.822732663,2052940939,2334820772,0,32,52,66,298,1785028618.823826157,2052940939,2334820772,54,32,106,120,129,9,37,0,1,True,54,1.093494,1093494,0.493445,400.002793,398.504261,,,False,False,,
74,0,300,1785028619.222242011,2334820772,22,32,74,88,1,10,0,1,0,True,2334820794,301,1785028619.222741346,2052940993,2334820794,0,32,52,66,302,1785028619.224980404,2052940993,2334820794,54,32,106,120,129,10,38,0,1,True,54,2.239058,2239058,0.499335,400.009784,398.415854,,,False,False,,
75,0,304,1785028619.622251795,2334820794,22,32,74,88,1,11,0,1,0,True,2334820816,305,1785028619.622666310,2052941047,2334820816,0,32,52,66,306,1785028619.623728750,2052941047,2334820816,54,32,106,120,129,11,39,0,1,True,54,1.062440,1062440,0.414515,399.965825,397.271391,,,False,False,,
