config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,ack_mode,response_delivery,is_first_in_connection
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57224,127.0.0.1,20000,13,127.0.0.1:57224<->127.0.0.1:20000#s13,140,1784212196.573412,70,52,0x0018,18,84,1,141,1784212196.6087387,2407,0x0018,False,,,,,141,1784212196.6087387,2407,2473,0x0018,129,35.326719,,,35.326719,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57224,127.0.0.1,20000,13,127.0.0.1:57224<->127.0.0.1:20000#s13,142,1784212196.60882,88,2459,0x0018,15,81,0,143,1784212196.6442714,1657,0x0018,False,,,,,143,1784212196.6442714,1657,1723,0x0018,129,35.451412,,,35.451412,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45516,127.0.0.1,20000,15,127.0.0.1:45516<->127.0.0.1:20000#s15,153,1784212197.8620636,1,1,0x0018,24,90,20,154,1784212197.862075,0,0x0010,True,154,1784212197.862075,1,25,155,1784212197.8971956,17,83,0x0018,129,0.011444,0.011444,35.120487,35.131931,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45516,127.0.0.1,20000,15,127.0.0.1:45516<->127.0.0.1:20000#s15,157,1784212197.897275,25,18,0x0018,21,87,2,158,1784212197.9325879,17,0x0018,False,,,,,158,1784212197.9325879,17,83,0x0018,129,35.312891,,,35.312891,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45516,127.0.0.1,20000,15,127.0.0.1:45516<->127.0.0.1:20000#s15,159,1784212197.932659,46,35,0x0018,24,90,20,160,1784212197.9679,17,0x0018,False,,,,,160,1784212197.9679,17,83,0x0018,129,35.241127,,,35.241127,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45516,127.0.0.1,20000,15,127.0.0.1:45516<->127.0.0.1:20000#s15,161,1784212197.9679744,70,52,0x0018,18,84,1,162,1784212198.003656,2407,0x0018,False,,,,,162,1784212198.003656,2407,2473,0x0018,129,35.681486,,,35.681486,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45516,127.0.0.1,20000,15,127.0.0.1:45516<->127.0.0.1:20000#s15,163,1784212198.0037873,88,2459,0x0018,15,81,0,164,1784212198.0393543,1657,0x0018,False,,,,,164,1784212198.0393543,1657,1723,0x0018,129,35.567045,,,35.567045,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45534,127.0.0.1,20000,17,127.0.0.1:45534<->127.0.0.1:20000#s17,174,1784212199.2574544,1,1,0x0018,24,90,20,175,1784212199.257466,0,0x0010,True,175,1784212199.257466,1,25,176,1784212199.2926352,17,83,0x0018,129,0.011683,0.011683,35.169125,35.180807,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45534,127.0.0.1,20000,17,127.0.0.1:45534<->127.0.0.1:20000#s17,178,1784212199.292714,25,18,0x0018,21,87,2,179,1784212199.3281126,17,0x0018,False,,,,,179,1784212199.3281126,17,83,0x0018,129,35.398483,,,35.398483,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45534,127.0.0.1,20000,17,127.0.0.1:45534<->127.0.0.1:20000#s17,180,1784212199.3281877,46,35,0x0018,24,90,20,181,1784212199.3635073,17,0x0018,False,,,,,181,1784212199.3635073,17,83,0x0018,129,35.319567,,,35.319567,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45534,127.0.0.1,20000,17,127.0.0.1:45534<->127.0.0.1:20000#s17,182,1784212199.363575,70,52,0x0018,18,84,1,183,1784212199.3988898,2407,0x0018,False,,,,,183,1784212199.3988898,2407,2473,0x0018,129,35.314798,,,35.314798,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45534,127.0.0.1,20000,17,127.0.0.1:45534<->127.0.0.1:20000#s17,184,1784212199.3989704,88,2459,0x0018,15,81,0,185,1784212199.434773,1657,0x0018,False,,,,,185,1784212199.434773,1657,1723,0x0018,129,35.802603,,,35.802603,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45554,127.0.0.1,20000,19,127.0.0.1:45554<->127.0.0.1:20000#s19,195,1784212200.6535568,1,1,0x0018,24,90,20,196,1784212200.6535683,0,0x0010,True,196,1784212200.6535683,1,25,197,1784212200.688745,17,83,0x0018,129,0.011444,0.011444,35.176754,35.188198,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45554,127.0.0.1,20000,19,127.0.0.1:45554<->127.0.0.1:20000#s19,199,1784212200.6888149,25,18,0x0018,21,87,2,200,1784212200.7242246,17,0x0018,False,,,,,200,1784212200.7242246,17,83,0x0018,129,35.409689,,,35.409689,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45554,127.0.0.1,20000,19,127.0.0.1:45554<->127.0.0.1:20000#s19,201,1784212200.7243,46,35,0x0018,24,90,20,202,1784212200.7596414,17,0x0018,False,,,,,202,1784212200.7596414,17,83,0x0018,129,35.341501,,,35.341501,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,45554,127.0.0.1,20000,19,127.0.0.1:45554<->127.0.0.1:20000#s19,203,1784212200.759717,70,52,0x0018,18,84,1,204,1784212200.7950952,2407,0x0018,False,,,,,204,1784212200.7950952,2407,2473,0x0018,129,35.378218,,,35.378218,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
