capture_id,ts,device,ack_mode,flow,transaction_id,direction,tcp_kind,dnp3_fc,role,response_to,is_read_request,is_read_response,is_direct_operate,is_direct_operate_response,is_select,is_select_confirm,is_operate,is_operate_confirm,is_app_confirm,is_response,response_fragment_index,app_fir,app_fin,app_con,wire_size,tcp_payload_size
SEL751.pcap,1561422385.61649,SEL751,separate,10.0.0.3:38527,25,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422387.59879,SEL751,separate,10.0.0.3:38527,26,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422387.602739,SEL751,separate,10.0.0.3:38527,26,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422387.615874,SEL751,separate,10.0.0.3:38527,26,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422387.615893,SEL751,separate,10.0.0.3:38527,26,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422389.598801,SEL751,separate,10.0.0.3:38527,27,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422389.603141,SEL751,separate,10.0.0.3:38527,27,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422389.614967,SEL751,separate,10.0.0.3:38527,27,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422389.614981,SEL751,separate,10.0.0.3:38527,27,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422391.598958,SEL751,separate,10.0.0.3:38527,28,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422391.602546,SEL751,separate,10.0.0.3:38527,28,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422391.615079,SEL751,separate,10.0.0.3:38527,28,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422391.615108,SEL751,separate,10.0.0.3:38527,28,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422393.599043,SEL751,separate,10.0.0.3:38527,29,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422393.602651,SEL751,separate,10.0.0.3:38527,29,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422393.619072,SEL751,separate,10.0.0.3:38527,29,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422393.619091,SEL751,separate,10.0.0.3:38527,29,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422395.599125,SEL751,separate,10.0.0.3:38527,30,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422395.603447,SEL751,separate,10.0.0.3:38527,30,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422395.620471,SEL751,separate,10.0.0.3:38527,30,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422395.620486,SEL751,separate,10.0.0.3:38527,30,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422397.599278,SEL751,separate,10.0.0.3:38527,31,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422397.604206,SEL751,separate,10.0.0.3:38527,31,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422397.614702,SEL751,separate,10.0.0.3:38527,31,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422397.61473,SEL751,separate,10.0.0.3:38527,31,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422399.59941,SEL751,separate,10.0.0.3:38527,32,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422399.603353,SEL751,separate,10.0.0.3:38527,32,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422399.614341,SEL751,separate,10.0.0.3:38527,32,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422399.614362,SEL751,separate,10.0.0.3:38527,32,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422401.599519,SEL751,separate,10.0.0.3:38527,33,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422401.602966,SEL751,separate,10.0.0.3:38527,33,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422401.615051,SEL751,separate,10.0.0.3:38527,33,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422401.615088,SEL751,separate,10.0.0.3:38527,33,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422403.599611,SEL751,separate,10.0.0.3:38527,34,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422403.60356,SEL751,separate,10.0.0.3:38527,34,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422403.618758,SEL751,separate,10.0.0.3:38527,34,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422403.618776,SEL751,separate,10.0.0.3:38527,34,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422405.59977,SEL751,separate,10.0.0.3:38527,35,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
