pcap,device_label,outstation_ip,classification,flow_id,stream,master,outstation,req_frame,req_size,req_func,first_rev_frame,first_rev_is_pure_ack,resp_frame,resp_size,resp_func,resp_flags,resp_seq,resp_ack,req_to_ack_ms,req_to_resp_ms,ack_to_resp_ms,retransmission,duplicate_ack,reset,out_of_order,note
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,166,22,1,167,False,167,54,129,0x0018,2917,1211,17.283,17.283,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,169,22,1,170,False,170,54,129,0x0018,2971,1233,17.6821,17.6821,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,172,22,1,173,False,173,54,129,0x0018,3025,1255,16.7758,16.7758,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,175,22,1,176,False,176,54,129,0x0018,3079,1277,17.0891,17.0891,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,178,22,1,179,False,179,54,129,0x0018,3133,1299,16.7971,16.7971,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,181,22,1,182,False,182,54,129,0x0018,3187,1321,16.618,16.618,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,184,22,1,185,False,185,54,129,0x0018,3241,1343,16.9349,16.9349,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,187,22,1,188,False,188,54,129,0x0018,3295,1365,16.3491,16.3491,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,190,22,1,191,False,191,54,129,0x0018,3349,1387,17.0588,17.0588,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,193,22,1,194,False,194,54,129,0x0018,3403,1409,16.5191,16.5191,0.0,False,False,False,False,
