row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,24,40.637,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,25,40.609,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,26,40.661,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,27,40.712,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,28,40.678,True,True,False,unknown,,,
raw,baseline,default,default,40,,,,,,,,,,,,,,undetermined-needs-privileged-capture,29,40.644,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,42.656,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,42.652,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,42.711,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,42.74,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,42.652,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,42.69,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,42.645,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,42.685,True,True,False,unknown,,,
raw,baseline,default,default,42,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,42.66,True,True,False,unknown,,,
